"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.612013,
"AUT","GDP","TOT","USD_CAP","A","2020",57258.818295,
"AUT","GDP","TOT","USD_CAP","A","2021",59991.439846,
"AUT","GDP","TOT","USD_CAP","A","2022",68774.881689,
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CAN","GDP","TOT","USD_CAP","A","2020",47226.357276,
"CAN","GDP","TOT","USD_CAP","A","2021",53023.405782,
"CAN","GDP","TOT","USD_CAP","A","2022",57058.469082,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50222.232835,
"FRA","GDP","TOT","USD_CAP","A","2020",47828.528542,
"FRA","GDP","TOT","USD_CAP","A","2021",51011.836944,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",55698.406803,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.473982,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56482.377267,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58799.012445,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",64101.466443,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.946796,
"GRC","GDP","TOT","USD_CAP","A","2020",28416.523031,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31297.164572,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",37212.227345,"P"
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.741922,
"ITA","GDP","TOT","USD_CAP","A","2020",43144.404157,
"ITA","GDP","TOT","USD_CAP","A","2021",46686.423758,
"ITA","GDP","TOT","USD_CAP","A","2022",52461.180226,
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.9957,
"NLD","GDP","TOT","USD_CAP","A","2020",59821.266235,"P"
"NLD","GDP","TOT","USD_CAP","A","2021",63369.162705,"P"
"NLD","GDP","TOT","USD_CAP","A","2022",70966.057612,"P"
"TUR","GDP","TOT","USD_CAP","A","2018",28281.473275,
"TUR","GDP","TOT","USD_CAP","A","2019",28011.322789,
"TUR","GDP","TOT","USD_CAP","A","2020",27973.899303,
"TUR","GDP","TOT","USD_CAP","A","2021",30679.506593,
"GBR","GDP","TOT","USD_CAP","A","2018",47219.464771,
"GBR","GDP","TOT","USD_CAP","A","2019",49317.743237,
"GBR","GDP","TOT","USD_CAP","A","2020",45872.178273,
"GBR","GDP","TOT","USD_CAP","A","2021",49814.943016,
"GBR","GDP","TOT","USD_CAP","A","2022",55175.810051,
"USA","GDP","TOT","USD_CAP","A","2018",62449.612827,
"USA","GDP","TOT","USD_CAP","A","2019",64690.272395,
"USA","GDP","TOT","USD_CAP","A","2020",63480.861222,
"USA","GDP","TOT","USD_CAP","A","2021",70181.12175,
"OECD","GDP","TOT","USD_CAP","A","2018",45196.025359,
"OECD","GDP","TOT","USD_CAP","A","2019",46666.570449,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45367.952862,"P"
"OECD","GDP","TOT","USD_CAP","A","2021",49035.564821,"E"
