"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","FOOD","AGRWTH","A","2018",1.519315,
"AUT","CPI","FOOD","AGRWTH","A","2019",1.018946,
"AUT","CPI","FOOD","AGRWTH","A","2020",2.331635,
"AUT","CPI","FOOD","AGRWTH","A","2021",0.783268,
"AUT","CPI","FOOD","AGRWTH","A","2022",10.74824,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"AUT","CPI","TOT","AGRWTH","A","2020",1.381909,
"AUT","CPI","TOT","AGRWTH","A","2021",2.766667,
"AUT","CPI","TOT","AGRWTH","A","2022",8.54687,
"CAN","CPI","FOOD","AGRWTH","A","2018",0.8086413,
"CAN","CPI","FOOD","AGRWTH","A","2019",3.67703,
"CAN","CPI","FOOD","AGRWTH","A","2020",2.400181,
"CAN","CPI","FOOD","AGRWTH","A","2021",2.195014,
"CAN","CPI","FOOD","AGRWTH","A","2022",9.762547,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"CAN","CPI","TOT","AGRWTH","A","2021",3.395193,
"CAN","CPI","TOT","AGRWTH","A","2022",6.802801,
"FRA","CPI","FOOD","AGRWTH","A","2018",1.967584,
"FRA","CPI","FOOD","AGRWTH","A","2019",2.449006,
"FRA","CPI","FOOD","AGRWTH","A","2020",2.021613,
"FRA","CPI","FOOD","AGRWTH","A","2021",0.6146201,
"FRA","CPI","FOOD","AGRWTH","A","2022",7.277634,
"FRA","CPI","TOT","AGRWTH","A","2018",1.850815,
"FRA","CPI","TOT","AGRWTH","A","2019",1.108255,
"FRA","CPI","TOT","AGRWTH","A","2020",0.4764988,
"FRA","CPI","TOT","AGRWTH","A","2021",1.642331,
"FRA","CPI","TOT","AGRWTH","A","2022",5.222367,
"DEU","CPI","FOOD","AGRWTH","A","2018",2.284611,
"DEU","CPI","FOOD","AGRWTH","A","2019",1.203303,
"DEU","CPI","FOOD","AGRWTH","A","2020",2.140428,
"DEU","CPI","FOOD","AGRWTH","A","2021",3.091667,
"DEU","CPI","FOOD","AGRWTH","A","2022",12.56164,
"DEU","CPI","TOT","AGRWTH","A","2018",1.732168,
"DEU","CPI","TOT","AGRWTH","A","2019",1.445667,
"DEU","CPI","TOT","AGRWTH","A","2020",0.1448705,
"DEU","CPI","TOT","AGRWTH","A","2021",3.066667,
"DEU","CPI","TOT","AGRWTH","A","2022",6.872574,
"GRC","CPI","FOOD","AGRWTH","A","2018",0.3985713,
"GRC","CPI","FOOD","AGRWTH","A","2019",-0.108345,
"GRC","CPI","FOOD","AGRWTH","A","2020",1.351419,
"GRC","CPI","FOOD","AGRWTH","A","2021",1.361123,
"GRC","CPI","FOOD","AGRWTH","A","2022",11.78599,
"GRC","CPI","TOT","AGRWTH","A","2018",0.6256205,
"GRC","CPI","TOT","AGRWTH","A","2019",0.2529927,
"GRC","CPI","TOT","AGRWTH","A","2020",-1.247972,
"GRC","CPI","TOT","AGRWTH","A","2021",1.223826,
"GRC","CPI","TOT","AGRWTH","A","2022",9.645261,
"ITA","CPI","FOOD","AGRWTH","A","2018",1.22439,
"ITA","CPI","FOOD","AGRWTH","A","2019",0.7660673,
"ITA","CPI","FOOD","AGRWTH","A","2020",1.400448,
"ITA","CPI","FOOD","AGRWTH","A","2021",0.5761187,
"ITA","CPI","FOOD","AGRWTH","A","2022",9.141557,
"ITA","CPI","TOT","AGRWTH","A","2018",1.137488,
"ITA","CPI","TOT","AGRWTH","A","2019",0.6112469,
"ITA","CPI","TOT","AGRWTH","A","2020",-0.1377076,
"ITA","CPI","TOT","AGRWTH","A","2021",1.873783,
"ITA","CPI","TOT","AGRWTH","A","2022",8.20129,
"NLD","CPI","FOOD","AGRWTH","A","2018",0.7895858,
"NLD","CPI","FOOD","AGRWTH","A","2019",4.049429,
"NLD","CPI","FOOD","AGRWTH","A","2020",1.889179,
"NLD","CPI","FOOD","AGRWTH","A","2021",-0.2069365,
"NLD","CPI","FOOD","AGRWTH","A","2022",10.74305,
"NLD","CPI","TOT","AGRWTH","A","2018",1.703498,
"NLD","CPI","TOT","AGRWTH","A","2019",2.633699,
"NLD","CPI","TOT","AGRWTH","A","2020",1.27246,
"NLD","CPI","TOT","AGRWTH","A","2021",2.67572,
"NLD","CPI","TOT","AGRWTH","A","2022",10.00121,
